"business.train...1.","Alcohol","Amb.romantic","Amb.intimate","Amb.classy","Amb.hipster","Amb.divey","Amb.touristy","Amb.trendy","Amb.upscale","Amb.casual","BYOB","BYOBCorkage","BikeParking","BusinessAcceptsBitcoin","BusinessAcceptsCreditCards","BusiParking.garage","BusiParking.street","BusiParking.validated","BusiParking.lot","BusiParking.valet","ByAppointmentOnly","Caters","Corkage","DogsAllowed","GoodForKids","GoodForMeal.dessert","GoodForMeal.latenight","GoodForMeal.lunch","GoodForMeal.dinner","GoodForMeal.breakfast","GoodForMeal.brunch","HasTV","NoiseLevel","Open24Hours","OutdoorSeating","RestaurantsAttire","RestaurantsCounterService","RestaurantsDelivery","RestaurantsGoodForGroups","RestaurantsPriceRange2","RestaurantsReservations","RestaurantsTableService","RestaurantsTakeOut","WheelchairAccessible","WiFi","DietaryRestrictions.dairyfree","DietaryRestrictions.glutenfree","DietaryRestrictions.vegan","DietaryRestrictions.kosher","DietaryRestrictions.halal","DietaryRestrictions.soyfree","DietaryRestrictions.vegetarian"
85,"full_bar","False","False","False","False","False","False","False","False","True","False","no","True",NA,"True","False","True","False","False","False",NA,"True",NA,NA,"True","False","False","True","True","False","False","True","average",NA,"True","casual",NA,"False","True","2","True","True","True","True","free",NA,NA,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,"True","True","False","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,"1",NA,NA,"True","True","free",NA,NA,NA,NA,NA,NA,NA
117,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,"False","False","2","False",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA
152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,"True","False","False","False","True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,"1",NA,NA,"True","True","free",NA,NA,NA,NA,NA,NA,NA
184,"beer_and_wine","False","False","False","False","False","False","False","False","True",NA,NA,NA,NA,"True","False","False","False","True","False",NA,"True",NA,NA,"True","False","False","True","False","False","False","True","average",NA,"True","casual",NA,"True","True","2","False","True","True","True","no",NA,NA,NA,NA,NA,NA,NA
225,"full_bar","False","False","False","False","False","False","False","False","True",NA,NA,"True",NA,"True","False","True","False","False","False",NA,"True",NA,NA,"True","False","True","True","True","False","False","True","average",NA,"False","casual",NA,"True","True","2","False","False","True",NA,"no",NA,NA,NA,NA,NA,NA,NA
260,"beer_and_wine","False","False","False","False","False","False","False","False","True",NA,NA,NA,NA,"True","False","False","False","True","False",NA,"False",NA,NA,"True","False","False","True","True","False","False","False","quiet",NA,"False","casual",NA,"True","True","1","False","True","True","True","no",NA,NA,NA,NA,NA,NA,NA
269,"none","False","False","False","False","False","False","False","False","True",NA,NA,NA,NA,"True","False","False","False","True","False",NA,"False",NA,NA,"True","False","False","True","True","False","False","False","quiet",NA,"False","casual",NA,NA,"True","2","False","True","True",NA,"no",NA,NA,NA,NA,NA,NA,NA
360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,"True","False","True","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,"2",NA,NA,"True",NA,"free",NA,NA,NA,NA,NA,NA,NA
658,"beer_and_wine","False","False","False","False","False","False","False","False","True",NA,NA,"True",NA,"True","False","False","False","True","False",NA,"False",NA,NA,"True","False","False","True","True","False","False","True","quiet",NA,"False","casual",NA,"False","True","1","False","True","True","True","no",NA,NA,NA,NA,NA,NA,NA
684,"none","False","False","False","False","False","False","False","False","True",NA,NA,"True",NA,"True","False","False","False","True","False",NA,"False",NA,NA,"True","False","False","False","True","False","False","False","quiet",NA,"False","casual",NA,"False","True","2","False","False","True","True","no",NA,NA,NA,NA,NA,NA,NA
691,"none","False","False","False","False","False","False","False","False","False",NA,NA,"False",NA,"True","False","False","False","False","False",NA,"False",NA,NA,"False","False","False","False","False","False","False","False","average",NA,"False","casual",NA,"False","False","1","False","False","True",NA,"no",NA,NA,NA,NA,NA,NA,NA
701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"True",NA,NA,"False","casual",NA,"True","True","2","False",NA,"True",NA,"free",NA,NA,NA,NA,NA,NA,NA
713,"none","False","False","False","False","False","False","False","False","True",NA,NA,"False",NA,"True","False","False","False","False","False",NA,"True",NA,NA,"True","True","False","True","True","False","True","True","average",NA,"False","casual",NA,"False","True","1","False","True","True",NA,"no",NA,NA,NA,NA,NA,NA,NA
870,"full_bar","False","False","False","False","False","False","False","False","True",NA,NA,"True",NA,"True","False","False","False","True","False",NA,"True",NA,NA,"True","False","False","True","False","False","False","True","average",NA,"True","casual",NA,"False","True","2","False","True","True",NA,"no",NA,NA,NA,NA,NA,NA,NA
927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"free",NA,NA,NA,NA,NA,NA,NA
1009,"full_bar","False","False","False","False","False","False","False","False","True","False","no","False",NA,"True","True","False","False","False","False",NA,"False",NA,NA,"False","False","False","True","True","False","False","True","loud",NA,"True","casual","True","False","True","2","True","True","True","True","no",NA,NA,NA,NA,NA,NA,NA
1033,"full_bar","False","False","False","False","False","False","False","False","False",NA,NA,"False",NA,"True","False","False","False","False","False",NA,NA,NA,NA,"True","False","False","False","False","False","False","False","average",NA,"False","casual",NA,"True","True","2","False","True","True",NA,"no",NA,NA,NA,NA,NA,NA,NA
1072,"none","False","False","False","False","False","False","False","False","False",NA,NA,"True",NA,"True","False","False","False","False","False",NA,"False",NA,NA,"True","False","False","True","False","False","False","False","quiet",NA,"False","casual",NA,"True","True","1","False","False","True",NA,"no",NA,NA,NA,NA,NA,NA,NA
1077,"none","False","False","False","False","False","False","False","False","True",NA,NA,NA,NA,"True","False","True","False","False","False",NA,NA,NA,NA,"True","False","False","True","False","False","False","False","average",NA,"True","casual",NA,"False","True","1","False","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA
1112,"beer_and_wine","False","False","False","False","True","False","False","False","False",NA,NA,"True",NA,"True","False","False","False","False","False",NA,NA,NA,NA,"True","False","False","False","False","False","False","True","quiet",NA,"False","casual",NA,"False","True","1","False","True","True",NA,"no",NA,NA,NA,NA,NA,NA,NA
1127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,"True","False","False","False","True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,"1",NA,NA,"True",NA,"free",NA,NA,NA,NA,NA,NA,NA
1186,NA,"False","False","False","False","False","False","False","False","True",NA,NA,NA,NA,NA,"False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,"True",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1204,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,"True","False","False","False","True","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,"False",NA,"1",NA,NA,"True","True","free",NA,NA,NA,NA,NA,NA,NA
